G1x,G1y,G1z,G2x,G2y,G2z,Vb1,Vb2,Ac1,AC2,Labels
0.052212,-0.042435,0.089857,-0.048852,-0.0088101,0.14212,1.09E-03,4.43E-03,-0.046289,-0.010453,Imbalance
0.04376,0.017539,-0.11181,0.3836,0.079479,0.13443,-4.58E-04,3.57E-03,-0.045303,-0.036755,Imbalance
0.034968,-0.0051048,0.18718,-0.02642,0.009341,0.12661,3.58E-05,2.83E-03,-0.04333,-0.057139,Imbalance
0.035494,0.018528,-0.074472,0.25714,0.059035,0.12513,1.12E-03,2.99E-03,-0.04333,-0.042673,Imbalance
0.033575,0.039534,0.074573,0.18959,0.059189,0.12538,1.24E-03,3.64E-03,-0.046289,-0.006508,Imbalance
0.035051,0.0021198,-0.027622,0.18302,0.019194,0.12217,5.85E-04,3.55E-03,-0.047604,-0.003549,Imbalance
0.030726,0.066884,0.015164,0.30165,0.063441,0.12213,6.44E-05,2.46E-03,-0.047604,-0.028864,Imbalance
0.028146,0.0025308,0.16951,-0.039094,-0.051664,0.11513,4.37E-04,2.20E-03,-0.047275,-0.047275,Imbalance
0.027941,0.1053,-0.11059,0.39572,0.042348,0.11857,7.24E-04,3.32E-03,-0.045631,-0.04596,Imbalance
0.03217,0.049828,0.19176,0.026566,-0.080213,0.12026,6.15E-04,3.50E-03,-0.043001,-0.036755,Imbalance
0.031567,0.078874,-0.12743,0.40647,0.0089106,0.12153,1.30E-04,3.42E-03,-0.041686,-0.015713,Imbalance
0.031727,0.019163,0.20366,0.077733,-0.053873,0.12202,4.66E-04,3.02E-03,-0.0407,-0.037412,Imbalance
0.03115,-0.0069929,-0.056827,0.2657,-0.00574,0.11858,6.89E-04,3.77E-03,-0.041686,-0.036755,Imbalance
0.031772,0.0011629,0.071385,0.26499,0.011499,0.12282,4.05E-04,3.92E-03,-0.042673,-0.013083,Imbalance
0.031085,-0.081397,0.04729,0.14817,-0.031644,0.11778,2.92E-04,3.34E-03,-0.044974,0.029329,Imbalance
0.031034,-0.054579,-0.042882,0.38893,0.041237,0.12127,1.13E-04,2.81E-03,-0.04333,0.042479,Imbalance
0.028878,-0.14282,0.14754,0.057607,-0.035973,0.1165,3.56E-04,2.94E-03,-0.044974,-0.014398,Imbalance
0.028403,-0.09241,-0.11188,0.4336,0.08763,0.11875,4.21E-04,3.37E-03,-0.049248,-0.071276,Imbalance
0.028602,-0.13153,0.19113,-0.00071704,0.0010233,0.1182,4.86E-04,3.20E-03,-0.051878,-0.046289,Imbalance
0.028153,-0.071475,-0.11728,0.37833,0.05407,0.11696,4.14E-04,2.78E-03,-0.052864,-0.00059,Imbalance
0.031053,-0.053712,0.11631,0.078279,-0.010506,0.12176,2.99E-04,2.81E-03,-0.052864,0.001054,Imbalance
0.031862,-0.057745,-0.066173,0.20167,-0.013961,0.11993,1.50E-04,3.21E-03,-0.053522,-0.025905,Imbalance
0.036681,-0.026978,0.07652,0.24543,-0.0032608,0.12622,5.64E-04,3.44E-03,-0.054837,-0.080481,Imbalance
0.017435,-0.052614,0.07394,0.035026,-0.053693,0.1061,7.71E-04,3.39E-03,-0.058782,-0.02196,Imbalance
0.0013467,0.046803,-0.053055,0.3586,0.019836,0.092577,1.57E-03,3.23E-03,-0.058125,0.029329,Imbalance
0.008669,0.018919,0.14401,-0.1085,-0.075608,0.096366,6.44E-04,3.03E-03,-0.061084,0.027027,Imbalance
0.0055437,0.092373,-0.13223,0.41005,0.010882,0.09453,-1.23E-03,3.45E-03,-0.060426,-0.024919,Imbalance
0.0046132,0.051453,0.20558,-0.14065,-0.074613,0.092571,9.18E-04,3.56E-03,-0.060097,-0.028207,Imbalance
-0.00034755,0.067469,-0.14016,0.31206,-0.008656,0.086656,1.83E-03,3.08E-03,-0.064043,0.010589,Imbalance
-0.0038515,0.058645,0.19621,0.069125,-0.030796,0.085172,-4.20E-04,3.12E-03,-0.06733,0.025712,Imbalance
-0.008716,0.021841,-0.035288,0.16069,-0.032414,0.07814,-1.00E-04,3.10E-03,-0.070289,-0.01111,Imbalance
-0.0067715,0.044889,0.059386,0.28853,0.014678,0.082725,9.43E-04,3.38E-03,-0.073906,-0.044974,Imbalance
-0.0086775,-0.043546,0.139,-0.03646,-0.069057,0.076971,-1.45E-04,2.95E-03,-0.070947,-0.016042,Imbalance
-0.0054238,-0.018193,-0.093164,0.45825,0.039779,0.08155,-1.90E-04,3.06E-03,-0.066673,0.015849,Imbalance
-0.0042301,-0.12723,0.13549,-0.38087,-0.076206,0.07918,6.63E-04,2.96E-03,-0.065358,0.031959,Imbalance
-0.00033471,-0.064514,-0.14722,0.4691,0.037281,0.085879,2.05E-04,3.26E-03,-0.063385,-0.017028,Imbalance
-0.0030493,-0.098716,0.22291,-0.10438,-0.062146,0.083843,-4.52E-04,3.02E-03,-0.061741,-0.037083,Imbalance
-5.23E-05,-0.06635,-0.10068,0.38649,0.0023207,0.08444,4.24E-04,2.97E-03,-0.061741,-0.023275,Imbalance
0.00070492,-0.081846,0.12887,0.016152,-0.027854,0.087426,1.35E-03,3.40E-03,-0.059111,0.009931,Imbalance
0.0011991,-0.13309,-0.046362,0.0172,-0.055755,0.08331,-1.55E-05,2.95E-03,-0.058125,-0.006179,Imbalance
0.0022066,-0.039552,0.060652,0.30239,0.0055129,0.089803,-7.05E-04,3.35E-03,-0.05944,-0.032481,Imbalance
-0.0016182,-0.13196,0.2336,-0.36903,-0.1067,0.079764,6.72E-04,3.15E-03,-0.05681,-0.045631,Imbalance
0.002951,0.039649,-0.1159,0.49748,0.037923,0.09067,8.75E-04,3.36E-03,-0.05681,-0.013083,Imbalance
0.00031346,-0.07292,0.24134,-0.34174,-0.08532,0.083599,3.17E-04,2.97E-03,-0.058782,0.014205,Imbalance
0.019592,0.010475,-0.17207,0.48438,0.036324,0.1044,5.11E-04,3.12E-03,-0.058454,-0.006836,Imbalance
0.023782,-0.062626,0.30486,-0.26718,-0.06002,0.10829,4.77E-04,3.24E-03,-0.05681,-0.019001,Imbalance
0.019361,-0.039584,-0.067074,0.20357,-0.0071466,0.10195,7.75E-05,3.21E-03,-0.053522,-0.04333,Imbalance
0.020926,0.0079701,0.1242,0.10207,-0.002323,0.10863,3.73E-04,2.82E-03,-0.047604,-0.024919,Imbalance
0.022236,-0.073639,0.05649,-0.044073,-0.043757,0.10382,8.54E-04,2.99E-03,-0.047604,-0.000261,Imbalance
0.023943,0.019414,-0.0067157,0.35224,0.060422,0.11312,4.67E-04,3.27E-03,-0.047933,-0.010124,Imbalance
0.020118,-0.10835,0.18458,-0.496,-0.039569,0.10594,-3.22E-04,3.17E-03,-0.04596,-0.005193,Imbalance
0.019271,0.00077119,-0.1229,0.51358,0.099551,0.11042,-7.39E-05,3.35E-03,-0.042673,0.006643,Imbalance
0.01655,-0.083176,0.31484,-0.42725,-0.014777,0.10523,7.63E-04,2.74E-03,-0.041357,0.046425,Imbalance
